;;;;;;;
Anexo I - FDCA Fundos Habilitados 2023;;;;;;;
;;;;;;;
N�;CNPJ;IBGE;UF;Munic�pio/Estado;Banco;Ag�ncia;Conta
1;44038844000105;1200054;AC;Assis Brasil;001;3550;00000000000000092894
2;44037239000101;1200104;AC;Brasil�ia;001;3550;00000000000000092886
3;01525683000163;1200203;AC;Cruzeiro do Sul;001;0234;00000000000000416177
4;21411829000157;1200000;AC;Estado do Acre;001;3550;00000000000000084212
5;44006214000140;1200302;AC;Feij�;001;3550;00000000000000092908
6;19108859000147;1200328;AC;Jord�o;104;3339;00000000000000710866
7;44133078000150;1200336;AC;M�ncio Lima;001;3550;0000000000000009465X
8;44075841000133;1200344;AC;Manoel Urbano;104;3275;00000000000000710494
9;18055099000194;1200351;AC;Marechal Thaumaturgo;001;3550;00000000000000092878
10;44070820000125;1200385;AC;Pl�cido de Castro;001;3550;00000000000000092924
11;46608166000196;1200807;AC;Porto Acre;001;3550;00000000000000095729
12;17825617000149;1200393;AC;Porto Walter;001;3550;00000000000000092827
13;12432022000100;1200401;AC;Rio Branco;001;3550;0000000000000008400X
14;12254752000168;1200427;AC;Rodrigues Alves;104;0803;00000000000000006020
15;19365049000176;1200500;AC;Sena Madureira;104;3340;00000000000000000775
16;44118664000125;1200609;AC;Tarauac�;001;2713;0000000000000029621X
17;44041662000185;1200708;AC;Xapuri;001;4520;00000000000000144118
18;35591182000105;2700102;AL;�gua Branca;001;0197;00000000000000158410
19;17198063000105;2700201;AL;Anadia;001;1018;00000000000000132462
20;18969264000113;2700300;AL;Arapiraca;104;0056;00000000000000007131
21;23812891000186;2700409;AL;Atalaia;001;0831;00000000000000278939
22;34683778000164;2700805;AL;Bel�m;001;1368;00000000000000386669
23;34258239000188;2700904;AL;Belo Monte;104;0056;00000000000000711084
24;17918831000140;2701001;AL;Boca da Mata;001;1648;00000000000000258792
25;34956083000109;2701209;AL;Cacimbinhas;001;1280;00000000000000107220
26;20389838000126;2701308;AL;Cajueiro;001;0110;00000000000000210005
27;20990229000128;2701357;AL;Campestre;001;2361;00000000000000153486
28;17623659000105;2701407;AL;Campo Alegre;001;4036;00000000000000184381
29;16904274000145;2701704;AL;Capela;001;0831;00000000000000226408
30;37842910000121;2701902;AL;Ch� Preta;001;0110;00000000000000261831
31;31846296000190;2702207;AL;Coqueiro Seco;104;4410;00000000000000710058
32;04789014000197;2702306;AL;Coruripe;001;1050;00000000000000149454
33;21236181000120;2702355;AL;Cra�bas;001;4368;00000000000000131873
34;18109894000118;2702405;AL;Delmiro Gouveia;001;1054;00000000000000335517
35;21136894000111;2700000;AL;Estado de Alagoas;104;2735;00000000000000014983
36;13485908000184;2702553;AL;Estrela de Alagoas;001;0136;00000000000000350141
37;31911065000112;2702603;AL;Feira Grande;001;2059;00000000000000146870
38;20639259000194;2702900;AL;Girau do Ponciano;001;1283;00000000000000067164
39;35381682000104;2703007;AL;Ibateguara;104;3377;00000000000000072515
40;22955683000173;2703106;AL;Igaci;001;2121;00000000000000152455
41;20482929000101;2703205;AL;Igreja Nova;001;2126;00000000000000159816
42;30652586000130;2703304;AL;Inhapi;001;1054;00000000000000423009
43;39668947000100;2703502;AL;Jacu�pe;001;0969;00000000000000258997
44;17810699000158;2703759;AL;Jequi� da Praia;001;1050;00000000000000436968
45;31721485000136;2703908;AL;Jundi�;001;2361;00000000000000188891
46;22693938000177;2704005;AL;Junqueiro;001;1284;00000000000000203955
47;24502685000132;2704104;AL;Lagoa da Canoa;001;4369;00000000000000073350
48;25269858000187;2704203;AL;Limoeiro de Anadia;001;2252;00000000000000157414
49;07753725000108;2704302;AL;Macei�;001;3557;00000000000000056715
50;31660433000105;2704906;AL;Mar Vermelho;104;1133;00000000000000710453
51;27915210000166;2704500;AL;Maragogi;001;4021;00000000000000178047
52;32324510000100;2704708;AL;Marechal Deodoro;001;2274;00000000000000300895
53;20828314000194;2705101;AL;Matriz de Camaragibe;001;4106;00000000000000139688
54;31030233000160;2705309;AL;Minador do Negr�o;004;0080;00000000000000330904
55;31158840000100;2705408;AL;Monteir�polis;104;4592;00000000000000710636
56;32218921000111;2705507;AL;Murici;001;2332;00000000000000222372
57;39339525000191;2705804;AL;Olho d'�gua do Casado;001;1054;00000000000000449830
58;06942904000112;2705705;AL;Olho d'�gua das Flores;001;1103;00000000000000106798
59;11683530000106;2706000;AL;Oliven�a;001;2368;00000000000000081973
60;47077215000174;2706208;AL;Palestina;001;0960;00000000000000237302
61;08195194000130;2706307;AL;Palmeira dos �ndios;001;0136;00000000000000205184
62;34126876000109;2706422;AL;Pariconha;001;8142;00000000000000016403
63;43879134000137;2706505;AL;Passo de Camaragibe;001;1139;00000000000000382140
64;31557733000155;2706703;AL;Penedo;001;0049;00000000000000302961
65;31845942000102;2706901;AL;Pilar;001;2444;00000000000000189111
66;31785685000152;2707305;AL;Porto Calvo;001;0969;00000000000000258814
67;24612312000114;2707602;AL;Quebrangulo;001;2506;00000000000000137960
68;31191082000122;2707701;AL;Rio Largo;001;2542;00000000000000331325
